status_id,created_at,text,source,is_quote,is_retweet,favorite_count,retweet_count,place_url,place_name,place_full_name,place_type,country,country_code,hashtags
985919748943892480,2018-04-16T16:36:00Z,"RT @EU2018BG: #EU2018BG hosts at #AGRIFISH a debate on how to ensure fair treatment for farmers by big retailers.

#FairFoodChain #FoodWast…",Twitter for iPhone,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,AGRIFISH
985919748943892480,2018-04-16T16:36:00Z,"RT @EU2018BG: #EU2018BG hosts at #AGRIFISH a debate on how to ensure fair treatment for farmers by big retailers.

#FairFoodChain #FoodWast…",Twitter for iPhone,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,FairFoodChain
985919139326771200,2018-04-16T16:33:34Z,RT @FishcoinNetwork: It is great to see @YaleE360 highlighting growth opportunities in #aquaculture! We look forward to leveraging #blockch…,Twitter Web Client,FALSE,TRUE,0,284,NA,NA,NA,NA,NA,NA,aquaculture
985918901295857664,2018-04-16T16:32:38Z,Postdoctoral Scholar position in offshore #aquaculture and coastal ecosystems working at #UCIrvine: https://t.co/CYv9os39Gg @ARPAE @UCI_OCEANS,Twitter for iPhone,FALSE,FALSE,1,1,NA,NA,NA,NA,NA,NA,aquaculture
985918901295857664,2018-04-16T16:32:38Z,Postdoctoral Scholar position in offshore #aquaculture and coastal ecosystems working at #UCIrvine: https://t.co/CYv9os39Gg @ARPAE @UCI_OCEANS,Twitter for iPhone,FALSE,FALSE,1,1,NA,NA,NA,NA,NA,NA,UCIrvine
985918522676129792,2018-04-16T16:31:07Z,RT @FAOfish: #UNFAO's #BlueGrowth Initiative ensures that #fisheries and #aquaculture support the three pillars of #sustainabledevelopment:…,Twitter for iPhone,FALSE,TRUE,0,28,NA,NA,NA,NA,NA,NA,UNFAO
985918522676129792,2018-04-16T16:31:07Z,RT @FAOfish: #UNFAO's #BlueGrowth Initiative ensures that #fisheries and #aquaculture support the three pillars of #sustainabledevelopment:…,Twitter for iPhone,FALSE,TRUE,0,28,NA,NA,NA,NA,NA,NA,BlueGrowth
985918522676129792,2018-04-16T16:31:07Z,RT @FAOfish: #UNFAO's #BlueGrowth Initiative ensures that #fisheries and #aquaculture support the three pillars of #sustainabledevelopment:…,Twitter for iPhone,FALSE,TRUE,0,28,NA,NA,NA,NA,NA,NA,fisheries
985918522676129792,2018-04-16T16:31:07Z,RT @FAOfish: #UNFAO's #BlueGrowth Initiative ensures that #fisheries and #aquaculture support the three pillars of #sustainabledevelopment:…,Twitter for iPhone,FALSE,TRUE,0,28,NA,NA,NA,NA,NA,NA,aquaculture
985918522676129792,2018-04-16T16:31:07Z,RT @FAOfish: #UNFAO's #BlueGrowth Initiative ensures that #fisheries and #aquaculture support the three pillars of #sustainabledevelopment:…,Twitter for iPhone,FALSE,TRUE,0,28,NA,NA,NA,NA,NA,NA,sustainabledevelopment
985918457836396545,2018-04-16T16:30:52Z,RT @FAOfish: These #farmers from #Egypt are planning &amp; designing ideal integrated agri-#aquaculture #farms as part of #training sessions or…,Twitter for iPhone,FALSE,TRUE,0,12,NA,NA,NA,NA,NA,NA,farmers
